Freq.	V(vo)/V(vi)
8.72155772144001e+01	5.01467775509949e+00
8.92267448630227e+01	5.32052086648252e+00
9.12842894942904e+01	5.62407641892391e+00
9.33892805488941e+01	5.92527379247735e+00
9.55428121285378e+01	6.22404378923910e+00
9.77460035646155e+01	6.52031871295153e+00
1.00000000000000e+02	6.81403244594970e+00
1.02305972984251e+02	7.10512052293397e+00
1.04665121082543e+02	7.39352020098257e+00
1.07078670498640e+02	7.67917052550653e+00
1.09547875712234e+02	7.96201239158336e+00
1.12074020130978e+02	8.24198860043695e+00
1.14658416757563e+02	8.51904391071927e+00
1.17302408872162e+02	8.79312508426023e+00
1.20007370730629e+02	9.06418092628729e+00
1.22774708278787e+02	9.33216231984929e+00
1.25605859883189e+02	9.59702225444110e+00
1.28502297078731e+02	9.85871584899512e+00
1.31465525333509e+02	1.01172003691510e+01
1.34497084831303e+02	1.03724352392488e+01
1.37598551272118e+02	1.06243820489323e+01
1.40771536691173e+02	1.08730045552307e+01
1.44017690296787e+02	1.11182686798645e+01
1.47338699327572e+02	1.13601425027918e+01
1.50736289929413e+02	1.15985962520512e+01
1.54212228052647e+02	1.18336022907186e+01
1.57768320369953e+02	1.20651351013328e+01
1.61406415215390e+02	1.22931712683725e+01
1.65128403545105e+02	1.25176894594413e+01
1.68936219920180e+02	1.27386704056211e+01
1.72831843512154e+02	1.29560968815383e+01
1.76817299131726e+02	1.31699536856593e+01
1.80894658281186e+02	1.33802276213214e+01
1.85066040231103e+02	1.35869074788091e+01
1.89333613121855e+02	1.37899840188988e+01
1.93699595090551e+02	1.39894499581717e+01
1.98166255423943e+02	1.41852999562580e+01
2.02735915737920e+02	1.43775306052432e+01
2.07410951184210e+02	1.45661404211646e+01
2.12193791684896e+02	1.47511298377103e+01
2.17086923195407e+02	1.49325012020116e+01
2.22092888996635e+02	1.51102587722075e+01
2.27214291016839e+02	1.52844087167629e+01
2.32453791184045e+02	1.54549591150925e+01
2.37814112809616e+02	1.56219199590438e+01
2.43298042003742e+02	1.57853031550343e+01
2.48908429123559e+02	1.59451225261190e+01
2.54648190254672e+02	1.61013938136041e+01
2.60520308726828e+02	1.62541346777470e+01
2.66527836664556e+02	1.64033646967145e+01
2.72673896573548e+02	1.65491053636652e+01
2.78961682963639e+02	1.66913800808559e+01
2.85394464009192e+02	1.68302141509236e+01
2.91975583247791e+02	1.69656347641509e+01
2.98708461318094e+02	1.70976709818043e+01
3.05596597737761e+02	1.72263537147795e+01
3.12643572722383e+02	1.73517156974595e+01
3.19853049046358e+02	1.74737914562299e+01
3.27228773946670e+02	1.75926172726991e+01
3.34774581070575e+02	1.77082311412242e+01
3.42494392468202e+02	1.78206727208668e+01
3.50392220631093e+02	1.79299832816900e+01
3.58472170577762e+02	1.80362056453692e+01
3.66738441987343e+02	1.81393841204643e+01
3.75195331382434e+02	1.82395644324460e+01
3.83847234362283e+02	1.83367936487571e+01
3.92698647887472e+02	1.84311200993192e+01
4.01754172617275e+02	1.85225932927401e+01
4.11018515300930e+02	1.86112638288366e+01
4.20496491224038e+02	1.86971833079180e+01
4.30193026711388e+02	1.87804042372088e+01
4.40113161687483e+02	1.88609799350539e+01
4.50262052296129e+02	1.89389644335913e+01
4.60644973580411e+02	1.90144123801037e+01
4.71267322224485e+02	1.90873789379659e+01
4.82134619358584e+02	1.91579196876044e+01
4.93252513428714e+02	1.92260905279068e+01
5.04626783132518e+02	1.92919475787949e+01
5.16263340422848e+02	1.93555470852751e+01
5.28168233580590e+02	1.94169453236235e+01
5.40347650358353e+02	1.94761985098935e+01
5.52807921196651e+02	1.95333627113844e+01
5.65555522514245e+02	1.95884937612968e+01
5.78597080074362e+02	1.96416471768481e+01
5.91939372428541e+02	1.96928780812014e+01
6.05589334439888e+02	1.97422411294683e+01
6.19554060887576e+02	1.97897904388433e+01
6.33840810154473e+02	1.98355795230611e+01
6.48457007999791e+02	1.98796612314381e+01
6.63410251418748e+02	1.99220876922505e+01
6.78708312591215e+02	1.99629102608524e+01
6.94359142921433e+02	2.00021794721630e+01
7.10370877170877e+02	2.00399449977365e+01
7.26751837686424e+02	2.00762556074291e+01
7.43510538726019e+02	2.01111591351325e+01
7.60655690884099e+02	2.01447024490165e+01
7.78196205619053e+02	2.01769314258571e+01
7.96141199885094e+02	2.02078909291914e+01
8.14500000870935e+02	2.02376247914912e+01
8.33282150847742e+02	2.02661757999398e+01
8.52497412128875e+02	2.02935856855220e+01
8.72155772144005e+02	2.03198951156483e+01
8.92267448630230e+02	2.03451436897384e+01
9.12842894942907e+02	2.03693699376470e+01
9.33892805488944e+02	2.03926113209413e+01
9.55428121285382e+02	2.04149042365999e+01
9.77460035646158e+02	2.04362840230520e+01
1.00000000000001e+03	2.04567849683121e+01
1.02305972984252e+03	2.04764403201870e+01
1.04665121082543e+03	2.04952822980478e+01
1.07078670498640e+03	2.05133421063813e+01
1.09547875712234e+03	2.05306499497111e+01
1.12074020130979e+03	2.05472350487114e+01
1.14658416757563e+03	2.05631256576257e+01
1.17302408872162e+03	2.05783490823913e+01
1.20007370730630e+03	2.05929316999191e+01
1.22774708278788e+03	2.06068989778340e+01
1.25605859883190e+03	2.06202754949142e+01
1.28502297078732e+03	2.06330849620338e+01
1.31465525333509e+03	2.06453502434410e+01
1.34497084831303e+03	2.06570933783363e+01
1.37598551272118e+03	2.06683356026073e+01
1.40771536691174e+03	2.06790973708282e+01
1.44017690296787e+03	2.06893983780451e+01
1.47338699327573e+03	2.06992575817335e+01
1.50736289929413e+03	2.07086932236439e+01
1.54212228052648e+03	2.07177228514118e+01
1.57768320369953e+03	2.07263633400638e+01
1.61406415215391e+03	2.07346309131687e+01
1.65128403545105e+03	2.07425411639464e+01
1.68936219920180e+03	2.07501090757036e+01
1.72831843512154e+03	2.07573490423114e+01
1.76817299131727e+03	2.07642748879784e+01
1.80894658281187e+03	2.07708998869314e+01
