Freq.	V(vo)/V(vi)
1.04665121082545e+06	3.32655562561725e+01
1.07078670498642e+06	3.31367452695126e+01
1.09547875712235e+06	3.30058970516862e+01
1.12074020130980e+06	3.28730413151337e+01
1.14658416757564e+06	3.27382091718846e+01
1.17302408872164e+06	3.26014330264708e+01
1.20007370730631e+06	3.24627464681419e+01
1.22774708278789e+06	3.23221841624062e+01
1.25605859883191e+06	3.21797817415300e+01
1.28502297078733e+06	3.20355756959903e+01
1.31465525333511e+06	3.18896032671816e+01
1.34497084831305e+06	3.17419023411564e+01
1.37598551272120e+06	3.15925113445026e+01
1.40771536691175e+06	3.14414691429915e+01
1.44017690296789e+06	3.12888149433024e+01
1.47338699327575e+06	3.11345881979932e+01
1.50736289929415e+06	3.09788285137649e+01
1.54212228052650e+06	3.08215755643532e+01
1.57768320369955e+06	3.06628690071293e+01
1.61406415215392e+06	3.05027484044861e+01
1.65128403545107e+06	3.03412531487940e+01
1.68936219920182e+06	3.01784223936057e+01
1.72831843512156e+06	3.00142949880040e+01
1.76817299131729e+06	2.98489094162826e+01
1.80894658281189e+06	2.96823037422719e+01
1.85066040231106e+06	2.95145155582831e+01
1.89333613121858e+06	2.93455819384022e+01
1.93699595090554e+06	2.91755393968866e+01
1.98166255423946e+06	2.90044238498108e+01
2.00000000000000e+06	2.89349918107214e+01
