time;V(/derivated);V(/derivated_pre);V(/derivated_twice);V(/integrated);V(/integrated_pre);V(/rectified);V(/rectified_pre);V(/vi);V(/vi_buffered);V(/vi_offseted);
0,00908219;2,96521;-3,15392;0,0477824;0,245015;-2,24716;0,0013066;0,000790563;2,5;2,49993;1,4978;
0,00908271;2,96464;-3,15273;0,0418367;0,270699;-2,25375;0,00102284;0,0006006;2,5;2,49993;1,4978;
0,00908319;2,96407;-3,15154;0,0368522;0,294274;-2,25979;0,000785991;0,000468486;2,5;2,49993;1,4978;
0,00908367;2,96345;-3,15025;0,0321786;0,318428;-2,26598;0,000613957;0,000356744;2,5;2,49993;1,4978;
0,00908412;2,96285;-3,14902;0,0282717;0,340454;-2,27163;0,000470769;0,000271878;2,5;2,49993;1,4978;
0,00908458;2,96221;-3,14768;0,0245325;0,363414;-2,27752;0,000357061;0,000203817;2,5;2,49993;1,4978;
0,00908515;2,96139;-3,14599;0,0203867;0,39148;-2,28471;0,000242281;0,000130276;2,5;2,49993;1,4978;
0,00908573;2,96052;-3,1442;0,0165754;0,420294;-2,2921;0,000148393;7,78713e-05;2,5;2,49993;1,4978;
0,00908636;2,95957;-3,14222;0,0129184;0,451397;-2,30007;7,40928e-05;2,69671e-05;2,5;2,49993;1,4978;
0,00908702;2,95855;-3,14012;0,00956009;0,483813;-2,30838;8,80094e-06;-7,05418e-06;2,5;2,49993;1,4978;
0,00908775;2,95738;-3,13772;0,00628006;0,520185;-2,31771;-3,9103e-05;-4,20817e-05;2,5;2,49993;1,4978;
0,00908851;2,95617;-3,13522;0,0033762;0,557655;-2,32731;-8,25535e-05;-6,30505e-05;2,5;2,49993;1,4978;
0,00908943;2,9547;-3,13218;0,000417451;0,602981;-2,33893;-0,000112343;-8,6478e-05;2,5;2,49993;1,4978;
0,00909037;2,95318;-3,12905;-0,00207695;0,649421;-2,35084;-0,000139901;-9,84178e-05;2,5;2,49993;1,4978;
0,00909168;2,95108;-3,12472;-0,00479605;0,713526;-2,36727;-0,000156991;-0,000113399;2,5;2,49993;1,4978;
0,00909292;2,94908;-3,12062;-0,00675521;0,774641;-2,38294;-0,000172068;-0,000118357;2,5;2,49993;1,4978;
0,00909474;2,94619;-3,11466;-0,00879865;0,8638;-2,40579;-0,000177707;-0,000125761;2,5;2,49993;1,4978;
0,00909653;2,94337;-3,10885;-0,0101159;0,951611;-2,4283;-0,000184647;-0,000126241;2,5;2,49993;1,4978;
0,00909915;2,93931;-3,10048;-0,0112564;1,07945;-2,46108;-0,000183301;-0,000128953;2,5;2,49993;1,4978;
0,00910188;2,93513;-3,09187;-0,0118412;1,21244;-2,49517;-0,000186037;-0,000127205;2,5;2,49993;1,4978;
0,0091056;2,92949;-3,08025;-0,0121578;1,39339;-2,54156;-0,000182179;-0,000128096;2,5;2,49993;1,4978;
0,00910963;2,92345;-3,06781;-0,012225;1,5884;-2,59155;-0,00018381;-0,00012591;2,5;2,49993;1,4978;
0,0091154;2,91488;-3,05015;-0,0121814;1,86612;-2,66275;-0,000179789;-0,00012651;2,5;2,49993;1,4978;
0,00912264;2,9042;-3,02816;-0,0120865;2,21252;-2,75155;-0,00018108;-0,000124261;2,5;2,49993;1,4978;
0,0091319;2,89067;-3,00026;-0,0119723;2,65191;-2,86419;-0,000176853;-0,000124613;2,5;2,49993;1,4978;
0,00914116;2,87725;-2,97261;-0,0118628;3,08725;-2,97579;-0,000177823;-0,000122256;2,5;2,49993;1,4978;
0,00915042;2,86396;-2,94523;-0,0117536;3,51858;-3,08637;-0,000173679;-0,000122571;2,5;2,49993;1,4978;
0,00915721;2,85429;-2,9253;-0,011674;3,83243;-3,16683;-0,000175007;-0,000120536;2,5;2,49993;1,4978;
0,009164;2,84468;-2,9055;-0,0115951;4,14416;-3,24674;-0,000171394;-0,000121074;2,5;2,49993;1,4978;
0,009164;2,84468;-2,9055;-0,0115951;4,14416;-3,24674;-0,000171394;-0,000121074;2,25;2,49993;1,4978;
0,009164;2,84468;-2,9055;-0,0115951;4,14416;-3,24674;-0,000171394;-0,000121074;1,75;2,49993;1,4978;
0,009164;2,84468;-2,9055;-0,0115951;4,14416;-3,24674;-0,000171394;-0,000121074;0,875002;2,49993;1,4978;
0,009164;2,84468;-2,9055;-0,0115951;4,14416;-3,24674;-0,000171394;-0,000121074;0;2,49993;1,4978;
0,009164;2,84468;-2,9055;-0,0115952;4,14416;-3,24674;-0,000171394;-0,000121074;0;2,49993;1,4978;
0,009164;2,84468;-2,9055;-0,0115952;4,14416;-3,24674;-0,000171394;-0,000121074;0;2,49993;1,4978;
0,009164;2,84468;-2,9055;-0,0115951;4,14416;-3,24674;-0,000171394;-0,000121074;0;2,49993;1,4978;
0,009164;2,84468;-2,9055;-0,0115951;4,14416;-3,24674;-0,000171394;-0,000121074;0;2,49993;1,4978;
0,009164;2,84468;-2,9055;-0,0115951;4,14416;-3,24674;-0,000171394;-0,000121074;0;2,49993;1,4978;
0,009164;2,84468;-2,9055;-0,0115951;4,14416;-3,24674;-0,000171394;-0,000121074;0;2,49993;1,4978;
0,009164;2,84468;-2,9055;-0,0115951;4,14416;-3,24674;-0,000171394;-0,000121074;0;2,49993;1,4978;
0,009164;2,84468;-2,9055;-0,0115951;4,14416;-3,24674;-0,000171394;-0,000121074;0;2,49993;1,4978;
0,009164;2,84468;-2,9055;-0,0115951;4,14416;-3,24674;-0,000171394;-0,000121074;0;2,49993;1,4978;
0,009164;2,84468;-2,9055;-0,0115951;4,14417;-3,24674;-0,000171394;-0,000121074;0;2,49993;1,4978;
0,009164;2,84468;-2,9055;-0,0115951;4,14417;-3,24674;-0,000171395;-0,000121073;0;2,49993;1,4978;
0,009164;2,84468;-2,9055;-0,0115951;4,14418;-3,24674;-0,000171395;-0,000121073;0;2,49991;1,4978;
0,009164;2,84468;-2,9055;-0,0115951;4,14419;-3,24675;-0,000171397;-0,000121072;0;2,49985;1,4978;
0,009164;2,84468;-2,9055;-0,0115951;4,14421;-3,24675;-0,0001714;-0,000121069;0;2,49959;1,4978;
0,009164;2,84468;-2,9055;-0,0115951;4,14427;-3,24677;-0,000171408;-0,000121064;0;2,4986;1,4978;
0,00916401;2,84467;-2,90549;-0,0115951;4,14437;-3,24679;-0,000171426;-0,000121052;0;2,49475;1,4978;
0,00916401;2,84467;-2,90548;-0,0115951;4,14451;-3,24683;-0,000171455;-0,000121035;0;2,48658;1,49777;
0,00916401;2,84466;-2,90547;-0,011595;4,14464;-3,24686;-0,000171491;-0,000121015;0;2,47496;1,4977;
0,00916402;2,84466;-2,90546;-0,011595;4,14479;-3,2469;-0,000171536;-0,000120991;0;2,45887;1,49753;
0,00916402;2,84465;-2,90545;-0,0115949;4,14497;-3,24696;-0,000171599;-0,000120959;0;2,43415;1,49708;
0,00916403;2,84465;-2,90543;-0,0115949;4,14526;-3,24705;-0,000171707;-0,000120905;0;2,38767;1,49559;
0,00916404;2,84463;-2,9054;-0,0115947;4,14576;-3,24727;-0,000171905;-0,000120809;0;2,28994;1,48945;
0,00916405;2,84461;-2,90536;-0,0115946;4,1464;-3,24766;-0,000172145;-0,000120694;0;2,14612;1,4726;
0,00916407;2,84459;-2,90531;-0,0115944;4,1472;-3,2483;-0,000172381;-0,00012058;0;1,95988;1,43601;
0,00916408;2,84456;-2,90526;-0,0115942;4,14817;-3,24926;-0,000172564;-0,000120489;0;1,74108;1,3711;
0,0091641;2,84453;-2,9052;-0,011594;4,1495;-3,25057;-0,000172679;-0,000120428;0;1,47896;1,26329;
